index,Population Density,Unemployment Rate %,Police Station Distance km,Number of Schools,Average Income,Age Group Ratio (15-24) %,Age Group Ratio (24-44) %,Age Group Ratio (44+) %,Poverty Rate %,School Dropout Rate %,Good Housing Quality %,Distance to Public Transport km,Recreational Facilities,Child Living With Single Parent Rate %,CCTV Cameras,Drug Hospital Admissions,Police Patrol Frequency,Emergency Response Time (Mins),Youth Unemployment Rate %,Alcohol OutletDensity,Distance to High Risk_Areas km,Mental Health Services Count,Total Crime in Month
0,283977,5.3,1.3,270,75334,24.4,72.9,2.7,93.4,33.9,61.3,83.1,694,75.3,787,1774,448,81.5,15.0,250,23.3,185,183
1,409705,35.3,17.3,458,86717,95.2,1.2,3.6,58.7,79.8,45.6,35.9,720,40.2,394,4150,146,66.5,64.7,370,13.6,338,529
2,112779,92.8,9.8,397,86482,2.6,78.9,18.5,67.4,51.9,99.4,28.5,421,51.0,82,1802,156,443.8,100.0,383,33.1,310,331
3,633945,40.8,19.9,177,33704,53.7,40.3,6.0,41.7,7.3,75.2,75.9,156,60.3,843,2671,299,343.6,80.6,203,26.5,160,347
4,607368,5.9,21.7,716,77833,20.1,19.3,60.6,94.5,5.9,61.7,90.5,343,75.7,520,3569,81,125.3,17.4,343,9.0,16,468
5,7894,72.7,14.6,875,49947,12.4,14.9,72.7,91.2,53.6,64.9,97.6,261,7.6,304,9873,234,285.8,99.6,424,13.7,275,1000
6,997330,25.7,10.0,984,59890,40.9,10.9,48.1,91.9,8.1,5.8,27.6,109,66.7,909,5058,214,80.2,52.7,363,45.6,5,630
7,248417,75.1,15.8,575,11757,34.8,30.7,34.5,38.9,59.1,91.6,89.9,794,70.5,624,7112,303,305.6,100.0,86,8.6,65,763
8,839463,93.5,1.8,793,89303,20.1,29.7,50.2,97.8,18.2,49.4,60.9,624,38.7,585,5068,208,43.5,100.0,15,1.7,320,623
9,94095,7.6,5.8,207,38448,58.3,22.9,18.9,72.4,23.0,45.6,88.5,872,31.6,432,3438,328,158.4,11.0,27,5.1,180,315
10,418371,39.3,3.8,104,56832,17.9,7.3,74.8,7.0,33.5,25.2,50.7,614,74.5,576,4624,141,345.4,100.0,110,16.0,192,517
11,28735,56.3,13.5,608,64385,54.9,5.8,39.3,51.4,19.2,85.4,66.8,658,23.0,738,3156,169,324.2,100.0,351,19.0,420,392
12,810613,1.2,21.8,295,91399,53.4,27.5,19.1,46.1,51.9,19.0,74.5,499,15.7,195,9823,161,489.7,2.5,75,23.4,14,1000
13,968001,96.5,19.5,555,95461,63.6,27.2,9.2,27.3,43.1,13.7,92.8,519,76.7,909,1339,284,213.5,100.0,143,34.2,333,245
14,762938,47.1,18.0,333,43680,14.9,70.7,14.4,9.5,57.7,84.4,37.0,504,16.5,890,5784,40,361.0,100.0,338,28.8,95,701
15,422790,97.9,27.4,633,17272,21.5,30.6,48.0,41.2,17.0,52.7,93.4,326,76.3,695,3712,468,392.6,100.0,195,21.2,377,438
16,146232,90.7,19.3,909,69028,22.8,18.1,59.1,8.8,36.1,29.6,97.0,601,31.1,49,923,33,73.9,100.0,382,37.8,228,231
17,648988,74.8,1.8,86,41492,32.2,20.1,47.7,81.5,35.4,70.5,77.7,665,49.8,466,8439,360,102.2,85.7,163,9.7,374,961
18,847273,56.3,4.6,181,26666,22.0,2.8,75.2,5.2,59.5,28.0,11.8,968,90.2,800,6513,133,148.7,100.0,325,36.7,253,774
19,712096,66.0,29.9,256,99410,0.5,86.8,12.7,64.4,83.8,27.4,56.5,209,64.4,816,8028,324,453.8,100.0,382,25.1,182,944
20,717040,87.3,11.2,304,11511,40.7,32.9,26.4,14.3,7.8,74.8,82.3,626,81.7,208,650,231,241.7,100.0,442,21.9,269,251
21,260654,95.2,27.7,954,66448,55.7,30.0,14.3,54.3,87.9,8.4,64.1,654,24.5,874,7345,68,264.2,100.0,326,13.2,474,856
22,993160,11.3,2.3,773,76039,16.5,16.4,67.1,98.8,51.5,35.0,82.4,579,46.1,326,6877,268,7.9,22.1,212,37.9,46,813
23,573197,74.4,21.7,932,36642,6.8,4.2,89.0,84.1,57.1,99.2,56.7,421,76.5,364,6956,333,469.1,100.0,300,41.7,222,813
24,842155,14.6,2.8,197,70458,3.4,30.1,66.5,2.7,16.2,58.0,32.9,607,9.9,295,3794,313,490.3,31.2,215,9.5,462,460
25,819761,14.0,2.8,579,69547,2.4,39.4,58.2,46.1,23.5,45.2,9.4,547,2.3,906,5451,225,335.5,15.1,351,29.2,436,653
26,524536,60.6,29.9,857,29550,10.9,76.8,12.3,14.4,80.8,85.0,90.6,200,56.8,524,9679,32,31.7,67.3,29,40.9,400,1000
27,30295,90.7,27.9,988,11865,39.2,19.9,40.9,34.2,39.1,51.6,37.6,777,91.1,48,5888,446,407.0,100.0,486,15.7,171,719
28,154778,61.6,5.6,695,62144,10.8,50.1,39.1,50.7,93.2,81.4,59.3,693,15.1,347,3482,269,332.7,100.0,354,47.1,222,447
29,396587,69.0,15.9,737,96302,49.9,29.5,20.5,52.1,47.1,29.5,27.1,483,16.0,23,8923,48,243.4,100.0,301,1.1,431,1000
30,883974,78.9,12.0,675,41945,48.1,37.0,14.9,10.7,73.4,31.8,28.1,461,83.8,92,2501,73,366.1,100.0,331,25.4,88,455
31,764235,30.8,9.9,166,96735,3.8,58.2,38.1,22.6,9.5,95.9,88.0,251,21.2,733,1084,446,238.8,90.6,300,17.4,398,220
32,100393,84.5,4.1,263,89185,76.0,9.7,14.2,28.7,78.3,6.6,37.2,941,5.6,587,4833,334,395.0,100.0,221,19.4,238,544
33,99581,4.0,11.1,465,56959,10.9,58.6,30.5,36.0,17.8,27.0,7.2,416,98.4,529,5366,361,489.7,8.6,415,42.4,286,567
34,726727,9.4,5.4,390,82255,35.2,25.9,38.9,6.2,34.3,80.6,39.1,389,7.9,319,409,362,171.4,24.6,302,4.5,302,134
35,80552,59.4,26.4,854,18605,22.1,3.1,74.8,19.7,20.3,92.4,73.7,658,32.9,746,9478,361,437.5,96.7,103,3.9,163,956
36,208194,1.8,15.6,79,67864,16.2,56.7,27.1,51.2,72.4,33.8,79.6,772,30.8,621,2730,22,154.8,3.7,462,7.1,166,377
37,190251,53.3,12.3,369,97339,1.7,72.4,25.9,9.8,48.1,6.9,51.5,569,95.3,72,606,83,489.9,86.0,199,11.6,400,156
38,357569,79.8,18.8,2,33574,14.5,47.1,38.4,7.0,59.4,68.6,87.6,709,13.3,899,3297,67,379.4,100.0,167,30.9,218,382
39,884646,87.4,11.6,988,35278,82.8,15.7,1.5,31.0,93.9,37.2,50.5,491,17.2,389,3213,214,124.9,100.0,41,40.0,224,445
40,696292,80.9,23.6,682,48045,10.8,22.0,67.2,58.7,69.1,61.6,99.2,596,20.8,746,2462,173,130.4,90.2,91,23.1,123,339
41,418103,18.4,18.4,594,74825,11.6,37.7,50.7,5.2,48.8,31.2,28.3,608,67.5,145,6376,139,330.2,35.3,82,45.8,133,677
42,16251,59.3,10.2,519,17296,8.4,78.5,13.1,77.0,54.4,80.6,50.5,492,52.5,830,181,59,34.0,87.2,212,30.5,207,87
43,955636,82.1,15.1,456,65998,47.7,34.9,17.4,81.0,94.1,15.5,90.0,266,17.7,634,7168,144,244.8,100.0,476,26.8,369,942
44,668943,50.8,2.1,688,27723,34.9,8.3,56.7,43.9,54.7,74.6,31.4,312,56.9,832,3318,64,402.2,60.5,484,10.8,31,493
45,7582,58.0,13.6,167,89262,28.0,25.0,47.0,39.3,64.2,62.2,1.6,240,82.0,473,319,489,491.1,100.0,170,20.0,212,49
46,512699,51.1,5.7,614,83725,7.7,30.5,61.8,70.8,2.1,54.9,92.3,972,57.6,206,6060,297,417.0,77.4,478,42.3,330,746
47,598326,89.5,2.1,336,59986,15.3,59.7,25.0,34.9,53.3,67.3,73.6,337,92.8,925,4640,257,142.7,100.0,139,11.6,264,554
48,264037,34.2,23.3,301,35469,12.3,81.8,5.8,90.4,67.7,81.6,37.3,984,37.2,657,899,375,275.3,79.1,173,10.5,382,137
49,302247,49.0,9.7,220,87287,13.1,12.1,74.8,20.1,30.9,80.8,1.3,423,4.2,617,6173,164,264.4,94.7,8,46.9,378,643
50,564653,82.3,17.5,639,75994,10.7,65.5,23.8,97.6,62.3,58.8,4.7,950,29.7,532,2618,288,342.0,100.0,335,19.2,224,414
51,163262,57.4,10.6,490,86575,49.5,33.5,16.9,17.4,30.1,42.2,62.9,609,41.5,975,7617,325,8.6,93.2,120,31.5,182,775
52,730566,41.8,9.1,393,88998,51.5,22.0,26.4,45.7,70.3,19.8,27.4,251,31.8,680,4630,477,426.3,100.0,311,20.6,148,576
53,54485,59.3,4.0,83,71621,71.6,2.9,25.5,28.6,22.9,73.8,34.9,347,52.2,530,6664,405,389.4,100.0,37,47.8,286,660
54,122790,22.6,21.2,127,62371,16.7,49.6,33.7,17.7,23.0,2.5,10.0,721,18.7,68,8903,361,290.9,28.7,455,42.8,381,963
55,906062,39.2,10.0,487,79244,0.9,83.4,15.7,19.7,99.1,16.3,87.1,872,4.2,1,7224,393,458.7,47.0,189,14.9,176,858
56,105878,83.8,16.0,961,80947,29.2,51.9,18.9,24.1,23.4,53.2,75.3,730,44.4,398,3019,404,140.1,100.0,443,30.0,140,397
57,601779,48.1,28.8,24,44987,92.4,1.2,6.4,80.9,46.6,14.8,36.0,983,32.7,85,7667,458,71.1,80.1,216,24.4,385,870
58,701042,52.0,1.0,435,91313,17.9,49.3,32.8,32.5,31.0,33.7,22.8,179,72.0,225,8721,227,102.2,100.0,1,27.5,393,955
59,610736,79.4,16.5,359,91908,50.1,4.9,44.9,70.6,23.7,87.2,31.6,952,67.6,989,8226,493,18.4,100.0,476,34.9,327,964
60,934137,74.5,29.2,844,33888,59.0,0.1,40.9,50.8,37.8,57.5,86.3,436,55.2,653,16,147,78.7,100.0,428,14.8,382,206
61,974486,43.4,16.9,997,95415,28.8,42.4,28.9,40.6,25.2,82.3,86.8,972,64.4,279,6474,418,239.4,94.7,48,19.0,105,756
62,272141,66.3,5.3,671,26386,46.4,14.0,39.5,80.6,45.7,41.2,96.6,196,2.1,225,5237,59,82.4,100.0,71,7.1,255,630
63,368828,35.3,4.0,387,74946,44.3,23.9,31.8,76.2,35.0,9.1,72.8,868,79.6,378,9325,41,393.3,65.9,248,18.7,413,1000
64,519182,13.8,10.9,526,30396,4.8,42.9,52.3,38.5,75.3,47.9,79.5,935,31.1,486,4814,298,468.6,31.8,480,24.9,444,591
65,520313,46.4,20.0,759,12108,62.6,35.8,1.6,34.3,44.6,21.4,44.8,405,25.6,263,7822,454,113.7,88.8,422,20.4,441,899
66,879210,46.5,27.9,975,13625,26.6,55.0,18.4,76.5,79.6,95.3,72.0,113,87.4,78,8188,387,248.5,100.0,25,49.5,255,930
67,318072,60.7,9.5,402,46206,42.4,3.1,54.5,91.8,67.5,16.0,1.3,833,58.5,372,2090,389,218.0,100.0,286,25.0,122,334
68,663332,96.1,8.7,298,93688,55.0,19.5,25.5,19.7,42.3,55.3,7.3,353,74.3,496,7644,390,394.7,100.0,79,7.4,43,862
69,829930,80.2,9.5,196,61866,4.8,31.1,64.0,43.9,25.2,55.2,93.0,68,32.6,360,8315,194,447.1,100.0,228,49.8,255,990
70,495160,11.9,25.0,431,50273,37.1,57.5,5.4,51.8,15.8,23.2,85.8,772,19.2,9,9958,263,350.5,20.2,364,11.9,186,1000
71,169360,69.7,18.1,937,26237,36.3,16.5,47.2,24.5,78.3,87.7,33.8,155,94.9,285,6766,304,414.3,100.0,464,10.8,278,792
72,648956,41.3,19.7,205,27484,23.4,30.0,46.7,88.2,34.0,43.9,7.5,927,3.3,714,5405,313,17.4,90.1,378,44.6,120,676
73,813601,7.5,21.7,151,48122,31.2,30.5,38.3,3.1,47.7,68.5,9.9,715,9.9,180,3524,262,103.9,13.4,98,49.7,160,408
74,963343,59.3,24.8,924,16336,15.5,65.4,19.1,53.3,52.9,8.0,32.6,305,33.5,922,6163,464,448.0,100.0,403,42.2,289,754
75,600459,35.9,11.6,79,65109,9.3,5.5,85.3,1.6,1.5,59.3,60.3,581,86.3,682,4524,352,126.3,97.6,384,9.3,217,562
76,224656,6.5,8.3,994,28979,12.8,2.2,85.0,26.8,39.8,37.3,77.1,875,9.0,179,7717,477,297.5,14.5,92,35.9,358,761
77,112404,91.4,29.0,743,77585,3.4,77.7,18.9,87.2,70.0,85.1,58.3,427,86.6,271,3662,323,492.5,100.0,346,32.0,57,490
78,29977,67.5,9.3,999,90252,3.3,1.1,95.5,31.2,85.4,55.5,38.8,666,60.0,425,9000,189,238.6,100.0,31,36.2,201,907
79,359973,5.3,23.9,36,94231,62.6,12.7,24.6,66.2,73.6,80.7,17.0,187,58.8,201,5510,157,159.0,11.9,62,5.5,375,587
80,501663,30.4,22.3,199,42279,9.3,87.1,3.6,54.2,85.2,47.6,48.0,737,50.5,266,4465,166,203.9,88.3,200,18.1,187,539
81,673542,77.3,15.2,530,59517,11.5,88.4,0.1,78.0,83.2,28.9,48.7,773,12.6,612,4823,314,235.6,100.0,322,49.5,49,605
82,898683,1.4,13.3,763,33580,72.9,21.4,5.8,6.6,37.4,35.0,24.3,700,56.2,875,1576,65,446.0,2.3,113,29.5,101,220
83,336063,72.4,24.2,333,92780,3.9,57.2,38.8,45.3,85.7,74.1,69.3,578,39.8,257,5810,227,276.5,100.0,395,41.1,289,730
84,315485,85.9,26.6,948,68078,34.1,13.0,52.9,57.9,63.0,64.0,38.4,826,25.4,768,5544,272,479.1,100.0,407,1.5,421,679
85,96045,18.0,21.4,647,62709,11.6,50.1,38.3,84.1,27.7,38.7,44.0,708,21.6,290,1427,253,466.7,41.1,304,18.2,372,190
86,212383,4.7,10.3,434,15115,43.4,4.4,52.2,67.3,3.4,95.4,81.3,372,56.5,383,5585,49,104.5,12.2,251,28.5,306,633
87,255748,11.1,8.3,178,17451,11.2,66.0,22.8,41.0,31.1,98.3,15.7,320,31.3,545,6805,376,126.9,22.5,114,2.4,63,678
88,599053,5.0,7.8,206,29312,0.1,78.5,21.3,27.3,23.5,71.8,32.3,436,72.2,339,8373,138,223.5,5.6,29,14.5,99,873
89,16775,49.0,28.2,691,94232,19.7,40.2,40.2,15.2,37.8,41.0,42.6,612,47.7,230,8855,120,451.7,52.2,267,5.7,401,966
90,884137,20.0,6.0,898,17159,10.3,29.0,60.7,64.6,70.7,43.6,39.8,224,46.0,548,6411,287,391.3,49.1,423,17.2,256,796
91,264847,96.8,26.2,158,85422,74.4,25.6,0.0,25.2,30.4,69.2,78.2,555,85.2,463,6854,2,334.6,100.0,120,25.4,452,791
92,471154,60.2,27.1,854,38197,37.7,33.3,29.0,68.2,43.6,84.6,12.6,992,63.7,857,9230,393,83.7,100.0,377,6.9,230,1000
93,973221,30.6,23.5,578,30278,13.3,4.7,82.0,54.3,55.4,30.0,12.0,332,67.8,750,3907,310,442.8,65.3,489,17.8,442,560
94,413443,31.5,2.2,438,29678,4.7,85.1,10.2,9.6,65.7,75.7,8.8,885,87.0,865,8903,220,83.6,37.3,236,1.9,316,937
95,721362,90.5,3.0,767,37419,1.2,22.6,76.2,3.6,81.2,2.6,3.1,175,41.8,981,7342,251,88.7,100.0,240,5.2,458,847
96,698537,96.5,16.0,153,52466,20.4,26.9,52.7,98.0,64.6,8.4,47.0,919,74.8,378,7951,237,67.1,100.0,424,13.6,154,1000
97,275938,75.7,20.5,39,15282,0.7,68.6,30.7,93.3,46.4,41.9,71.0,809,10.6,879,2829,139,243.2,100.0,158,16.6,334,390
98,230943,39.2,14.3,759,29102,54.5,16.3,29.2,6.7,60.1,13.2,93.8,140,95.1,748,5278,264,73.7,100.0,339,16.9,299,607
99,915635,14.0,27.0,726,20707,29.8,47.9,22.3,41.0,55.4,24.1,8.0,826,99.7,818,9707,426,290.9,15.3,244,7.7,114,1000
100,79396,17.2,12.6,48,29992,32.1,59.5,8.4,57.0,49.2,30.8,48.2,423,18.2,159,160,420,207.3,33.0,387,13.2,82,82
101,89730,74.7,12.4,234,23637,18.1,17.9,64.0,86.8,100.0,59.2,99.6,344,32.3,10,99,285,422.6,100.0,304,3.8,89,129
102,41718,69.2,4.9,373,44944,30.0,20.5,49.5,96.6,69.9,38.9,5.8,382,4.1,465,193,342,358.3,100.0,290,41.5,207,85
103,51647,50.8,11.4,454,28522,64.1,23.2,12.7,82.0,4.1,91.7,60.0,381,23.8,444,46,234,212.1,60.3,43,47.1,229,26
104,20995,79.8,12.7,320,88116,11.6,39.7,48.6,41.2,86.1,15.8,21.5,137,57.6,89,112,428,104.3,100.0,404,46.7,132,98
105,60218,35.6,15.8,266,56854,11.4,85.0,3.6,51.3,11.7,66.7,40.0,291,55.1,456,126,474,260.2,68.2,101,35.6,71,0
106,42449,95.7,25.3,168,81189,1.5,63.3,35.2,71.2,29.1,93.7,34.3,158,72.0,252,187,327,136.9,100.0,375,20.3,75,127
107,65238,6.9,19.1,272,19777,25.5,44.7,29.8,47.8,60.3,14.3,80.9,292,17.2,259,58,278,143.7,20.1,155,31.9,26,6
108,38810,29.9,7.2,277,55387,69.3,23.1,7.6,38.3,35.1,72.0,78.9,414,44.2,460,98,257,279.0,56.4,99,33.5,119,11
109,55510,18.4,5.4,280,48343,34.7,47.8,17.5,23.9,12.1,98.2,11.7,280,95.0,437,87,32,117.7,22.3,314,17.5,176,91
110,51879,28.7,19.6,30,51969,4.4,8.1,87.4,52.6,33.4,38.7,29.8,250,40.7,116,30,272,268.9,48.5,429,9.2,171,101
111,52271,4.5,20.5,301,52906,22.8,37.8,39.4,94.8,70.2,12.2,10.1,350,8.4,291,155,447,26.1,6.7,398,14.9,225,63
112,30753,73.9,23.6,417,35374,35.2,4.4,60.4,9.6,64.4,25.6,1.9,461,19.7,432,171,2,141.3,100.0,87,18.4,187,69
113,13282,7.6,24.6,349,98309,27.5,34.1,38.4,21.5,16.1,34.7,92.7,230,73.1,141,66,59,403.9,22.0,42,37.2,163,19
114,28185,40.7,19.3,392,46825,3.0,94.2,2.9,20.3,63.0,8.5,11.9,260,21.2,239,26,309,353.2,79.1,235,15.5,168,64
115,17890,33.8,10.1,36,45915,77.4,8.1,14.5,27.9,25.7,49.9,1.9,264,41.5,33,125,308,381.6,38.7,206,5.9,216,55
116,55342,98.0,4.1,170,12400,7.8,70.8,21.4,98.6,73.7,57.3,23.9,122,83.6,286,86,170,234.2,100.0,263,1.2,114,124
117,15562,52.5,28.5,131,88065,27.2,65.3,7.5,26.7,82.1,41.4,33.7,400,68.9,436,10,268,354.7,100.0,181,42.8,22,12
118,80656,12.8,29.2,444,94731,71.5,26.0,2.5,75.4,71.4,56.7,26.9,437,28.3,65,12,51,55.7,33.7,332,23.1,99,90
119,62394,53.1,16.6,191,98599,34.6,45.3,20.1,30.2,1.2,97.5,19.6,261,9.8,17,9,141,416.3,100.0,168,10.0,44,76
120,49780,38.6,1.7,473,15740,28.2,16.5,55.3,98.9,38.1,65.8,55.2,372,91.7,145,180,45,401.9,45.7,353,43.0,157,117
121,69748,55.4,6.2,224,95850,72.1,14.9,13.0,69.0,28.1,87.2,9.1,38,65.2,55,175,286,488.8,100.0,46,43.7,42,68
122,7335,83.1,26.0,416,72331,74.9,14.6,10.5,46.6,95.7,81.5,78.3,214,85.7,472,28,178,275.9,100.0,383,36.5,218,112
